=== [PHASE 2/2] Full experiment start Sun Sep 14 12:58:12 AM UTC 2025 ===
INFO 09-14 00:58:19 [__init__.py:216] Automatically detected platform cuda.
trainable params: 884,736 || all params: 126,124,032 || trainable%: 0.7015
{'loss': 2.6064, 'grad_norm': 5.023104190826416, 'learning_rate': 1.6776707435869684e-05, 'epoch': 0.16}
{'loss': 2.6343, 'grad_norm': 3.8593854904174805, 'learning_rate': 1.6755060071436305e-05, 'epoch': 0.16}
{'loss': 2.6487, 'grad_norm': 3.990800619125366, 'learning_rate': 1.673341270700292e-05, 'epoch': 0.16}
{'loss': 2.4727, 'grad_norm': 4.558206081390381, 'learning_rate': 1.6711765342569542e-05, 'epoch': 0.16}
{'loss': 2.6909, 'grad_norm': 3.7648470401763916, 'learning_rate': 1.6690117978136163e-05, 'epoch': 0.17}
{'loss': 2.6488, 'grad_norm': 4.769880771636963, 'learning_rate': 1.6668470613702783e-05, 'epoch': 0.17}
{'loss': 2.4772, 'grad_norm': 4.303271770477295, 'learning_rate': 1.6646823249269403e-05, 'epoch': 0.17}
{'loss': 2.6245, 'grad_norm': 4.434240818023682, 'learning_rate': 1.6625175884836024e-05, 'epoch': 0.17}
{'loss': 2.6686, 'grad_norm': 3.5627286434173584, 'learning_rate': 1.6603528520402644e-05, 'epoch': 0.17}
{'loss': 2.6797, 'grad_norm': 4.983948230743408, 'learning_rate': 1.658188115596926e-05, 'epoch': 0.17}
{'loss': 2.6068, 'grad_norm': 4.593449115753174, 'learning_rate': 1.6560233791535882e-05, 'epoch': 0.17}
{'loss': 2.5186, 'grad_norm': 3.694518804550171, 'learning_rate': 1.6538586427102502e-05, 'epoch': 0.17}
{'loss': 2.4947, 'grad_norm': 3.8648672103881836, 'learning_rate': 1.6516939062669123e-05, 'epoch': 0.17}
{'loss': 2.6118, 'grad_norm': 3.6880135536193848, 'learning_rate': 1.649529169823574e-05, 'epoch': 0.18}
{'loss': 2.6268, 'grad_norm': 4.480709552764893, 'learning_rate': 1.647364433380236e-05, 'epoch': 0.18}
{'loss': 2.6054, 'grad_norm': 4.667600154876709, 'learning_rate': 1.645199696936898e-05, 'epoch': 0.18}
{'loss': 2.7056, 'grad_norm': 4.264515399932861, 'learning_rate': 1.64303496049356e-05, 'epoch': 0.18}
{'loss': 2.7001, 'grad_norm': 4.358145236968994, 'learning_rate': 1.6408702240502222e-05, 'epoch': 0.18}
{'loss': 2.6819, 'grad_norm': 4.108837604522705, 'learning_rate': 1.638705487606884e-05, 'epoch': 0.18}
{'loss': 2.5928, 'grad_norm': 3.672537326812744, 'learning_rate': 1.636540751163546e-05, 'epoch': 0.18}
{'loss': 2.5438, 'grad_norm': 5.01363468170166, 'learning_rate': 1.634376014720208e-05, 'epoch': 0.18}
{'loss': 2.696, 'grad_norm': 4.232093811035156, 'learning_rate': 1.63221127827687e-05, 'epoch': 0.18}
{'loss': 2.7007, 'grad_norm': 4.54400634765625, 'learning_rate': 1.6300465418335317e-05, 'epoch': 0.19}
{'loss': 2.7318, 'grad_norm': 4.189974784851074, 'learning_rate': 1.6278818053901938e-05, 'epoch': 0.19}
{'loss': 2.4788, 'grad_norm': 3.969088077545166, 'learning_rate': 1.6257170689468558e-05, 'epoch': 0.19}
{'loss': 2.628, 'grad_norm': 4.507713317871094, 'learning_rate': 1.623552332503518e-05, 'epoch': 0.19}
{'loss': 2.6141, 'grad_norm': 5.17487907409668, 'learning_rate': 1.6213875960601796e-05, 'epoch': 0.19}
{'loss': 2.5475, 'grad_norm': 5.266183376312256, 'learning_rate': 1.6192228596168416e-05, 'epoch': 0.19}
{'loss': 2.554, 'grad_norm': 4.032135486602783, 'learning_rate': 1.617058123173504e-05, 'epoch': 0.19}
{'loss': 2.6719, 'grad_norm': 4.11094331741333, 'learning_rate': 1.6148933867301657e-05, 'epoch': 0.19}
{'loss': 2.4988, 'grad_norm': 3.789729356765747, 'learning_rate': 1.6127286502868277e-05, 'epoch': 0.19}
{'loss': 2.4446, 'grad_norm': 4.796815395355225, 'learning_rate': 1.6105639138434898e-05, 'epoch': 0.19}
{'loss': 2.5928, 'grad_norm': 5.333987712860107, 'learning_rate': 1.608399177400152e-05, 'epoch': 0.2}
{'loss': 2.6087, 'grad_norm': 4.107837200164795, 'learning_rate': 1.6062344409568135e-05, 'epoch': 0.2}
{'loss': 2.6049, 'grad_norm': 3.869633197784424, 'learning_rate': 1.6040697045134756e-05, 'epoch': 0.2}
{'loss': 2.6123, 'grad_norm': 5.803170680999756, 'learning_rate': 1.6019049680701376e-05, 'epoch': 0.2}
{'loss': 2.5613, 'grad_norm': 5.02490234375, 'learning_rate': 1.5997402316267997e-05, 'epoch': 0.2}
{'loss': 2.5909, 'grad_norm': 3.6145989894866943, 'learning_rate': 1.5975754951834614e-05, 'epoch': 0.2}
{'loss': 2.5707, 'grad_norm': 3.7947447299957275, 'learning_rate': 1.5954107587401234e-05, 'epoch': 0.2}
{'loss': 2.6125, 'grad_norm': 4.90681266784668, 'learning_rate': 1.5932460222967855e-05, 'epoch': 0.2}
{'loss': 2.5744, 'grad_norm': 4.834019660949707, 'learning_rate': 1.5910812858534475e-05, 'epoch': 0.2}
